CodigoEstacion,NombreEstacion,Departamento,Municipio,Latitud,Longitud,frecuencia_extremos,pendiente,p_valor,tendencia,frecuencia_reciente,ratio_reciente,frecuencia_anio_corrido,frecuencia_ultimos_6m,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,alerta_lluvias,sequia_categoria,cod_norm
11077020,LA MAGDALENA - AUT,ANTIOQUIA,URRAO,6.298361111,-76.13447222,0.06779661016949153,,,,,,,,,,sin_datos,BAJA,NORMAL,11077020
11080010,PR CHOCO: BELLAVISTA,CHOCÓ,BOJAYÁ (BELLAVISTA),6.559,-76.885,0.05603448275862069,0.0,,estable,0.0,0.0,0.0,0.0,0.0,0.0,DEFICIT,BAJA,LEVE,11080010
11105020,CARMEN DARIEN,CHOCÓ,CARMEN DEL DARIÉN  (CURBARADÓ),7.154,-76.977,0.0529446757882213,,,,,,,,,,sin_datos,BAJA,NORMAL,11105020
11110010,NORMAL SANTA TERESA,ANTIOQUIA,FRONTINO,6.763333333,-76.13361111,0.06985294117647059,0.005829657402652126,0.23960631234577698,estable,0.12969823069382624,1.856732565722144,0.22772277227722773,0.15384615384615385,3.2600312662845234,2.2024291497975708,EXCESO,MODERADA,NORMAL,11110010
11110110,BOQUERON DE TOYO,ANTIOQUIA,GIRALDO,6.699444444,-75.9775,0.07164179104477612,-0.01243059134195168,0.006636497015339688,decreciente,0.08319735463883332,1.1612964085003816,0.014925373134328358,0.019230769230769232,0.20833333333333331,0.26842948717948717,DEFICIT,MODERADA,MODERADA,11110110
11115020,CAÑASGORDAS,ANTIOQUIA,CAÑASGORDAS,6.758027778,-76.02966667,0.08695652173913043,-0.020737327188940093,0.266886905212965,estable,0.0521889400921659,0.6001728110599079,0.0,0.0,0.0,0.0,DEFICIT,BAJA,MODERADA,11115020
11115020,CAÑASGORDAS  - AUT,ANTIOQUIA,CAÑASGORDAS,6.758027778,-76.02966667,0.05699481865284974,-0.020737327188940093,0.266886905212965,estable,0.0521889400921659,0.9156786761625472,0.0,0.0,0.0,0.0,DEFICIT,BAJA,MODERADA,11115020
11115040,MUSINGA,ANTIOQUIA,FRONTINO,6.777972222,-76.20333333,0.06876790830945559,-0.005339143214036025,0.03581518402159731,decreciente,0.08441829889496819,1.2275827630976623,0.06930693069306931,0.05128205128205128,1.0078382838283828,0.7457264957264956,DEFICIT,MODERADA,MODERADA,11115040
11115501,CAÑASGORDAS  - AUT,ANTIOQUIA,CAÑASGORDAS,6.748275,-76.03155556,0.06084656084656084,,,,,,,,,,sin_datos,BAJA,NORMAL,11115501
11117010,EL AÑIL,ANTIOQUIA,URAMITA,6.873888889,-76.14958333,0.06876790830945559,-0.005769892167439236,0.10438474022233236,estable,0.09295637784840763,1.3517406612122609,0.09900990099009901,0.04487179487179487,1.4397689768976898,0.6525106837606838,DEFICIT,MODERADA,MODERADA,11117010
