COD_DPTO,NOM_DPTO,cod_divipola,NOM_MPIO,LATITUD,LONGITUD,amenaza_mm_val,amenaza_mm
5,ANTIOQUIA,5467,MONTEBELLO,5.916853903,-75.51972693,59,MUY_ALTA
5,ANTIOQUIA,5475,MURINDÓ,6.828773855,-76.70861349,41,ALTA
5,ANTIOQUIA,5480,MUTATÁ,7.329557848,-76.4630657,41,ALTA
5,ANTIOQUIA,5483,NARIÑO,5.581275312,-75.19457019,59,MUY_ALTA
5,ANTIOQUIA,5490,NECOCLÍ,8.493728551,-76.67699588,42,ALTA
5,ANTIOQUIA,5495,NECHÍ,7.983477394,-74.65844186,25,MEDIA
5,ANTIOQUIA,5501,OLAYA,6.611418083,-75.77567097,59,MUY_ALTA
5,ANTIOQUIA,5541,PEÑOL,6.232396368,-75.22350906,32,ALTA
5,ANTIOQUIA,5543,PEQUE,7.044180058,-75.88968843,42,ALTA
5,ANTIOQUIA,5576,PUEBLORRICO,5.80970186,-75.86076667,24,MEDIA
5,ANTIOQUIA,5579,PUERTO BERRÍO,6.481922267,-74.5287421,25,MEDIA
5,ANTIOQUIA,5585,PUERTO NARE,6.126539139,-74.70317722,34,ALTA
5,ANTIOQUIA,5591,PUERTO TRIUNFO,5.954830151,-74.6861918,25,MEDIA
5,ANTIOQUIA,5604,REMEDIOS,6.997267375,-74.55865652,34,ALTA
5,ANTIOQUIA,5607,RETIRO,6.053444254,-75.51573805,59,MUY_ALTA
5,ANTIOQUIA,5615,RIONEGRO,6.150785807,-75.41076052,32,ALTA
5,ANTIOQUIA,5628,SABANALARGA,6.901000506,-75.79222754,42,ALTA
5,ANTIOQUIA,5631,SABANETA,6.138305183,-75.60880599,59,MUY_ALTA
5,ANTIOQUIA,5642,SALGAR,5.970502334,-75.98137251,52,MUY_ALTA
5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,6.918427233,-75.6657758,36,ALTA
5,ANTIOQUIA,5649,SAN CARLOS,6.193789659,-74.90732769,37,ALTA
5,ANTIOQUIA,5652,SAN FRANCISCO,5.840093731,-74.98176334,17,BAJA
5,ANTIOQUIA,5656,SAN JERÓNIMO,6.438300409,-75.70310727,15,BAJA
5,ANTIOQUIA,5658,SAN JOSÉ DE LA MONTAÑA,6.823258913,-75.67770826,58,MUY_ALTA
5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,8.707141583,-76.53248234,11,BAJA
5,ANTIOQUIA,5660,SAN LUIS,6.024205956,-75.0076674,59,MUY_ALTA
5,ANTIOQUIA,5664,SAN PEDRO DE LOS MILAGROS,6.458666308,-75.5624839,37,ALTA
5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,8.37915695,-76.31664233,42,ALTA
5,ANTIOQUIA,5667,SAN RAFAEL,6.31074453,-74.99858652,33,ALTA
5,ANTIOQUIA,5670,SAN ROQUE,6.466165211,-74.9450732,37,ALTA
5,ANTIOQUIA,5674,SAN VICENTE FERRER,6.310387522,-75.32740163,23,MEDIA
5,ANTIOQUIA,5679,SANTA BÁRBARA,5.878984956,-75.58330371,59,MUY_ALTA
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,6.675827825,-75.43814333,36,ALTA
5,ANTIOQUIA,5690,SANTO DOMINGO,6.481044132,-75.14260097,31,ALTA
5,ANTIOQUIA,5697,EL SANTUARIO,6.124209495,-75.25212278,31,ALTA
5,ANTIOQUIA,5736,SEGOVIA,7.26692339,-74.62163926,34,ALTA
5,ANTIOQUIA,5756,SONSÓN,5.826388779,-74.83637623,25,MEDIA
5,ANTIOQUIA,5761,SOPETRÁN,6.520164552,-75.74580903,25,MEDIA
5,ANTIOQUIA,5789,TÁMESIS,5.673758571,-75.70979974,24,MEDIA
5,ANTIOQUIA,5790,TARAZÁ,7.488875998,-75.40189438,37,ALTA
5,ANTIOQUIA,5792,TARSO,5.871064557,-75.82871144,24,MEDIA
5,ANTIOQUIA,5809,TITIRIBÍ,6.058349971,-75.79966005,60,MUY_ALTA
5,ANTIOQUIA,5819,TOLEDO,7.016397069,-75.71363382,36,ALTA
5,ANTIOQUIA,5837,TURBO,8.173851745,-76.5740377,29,MEDIA
5,ANTIOQUIA,5842,URAMITA,6.913916924,-76.13318514,54,MUY_ALTA
5,ANTIOQUIA,5847,URRAO,6.33534134,-76.25906482,54,MUY_ALTA
5,ANTIOQUIA,5854,VALDIVIA,7.265404213,-75.40094502,37,ALTA
5,ANTIOQUIA,5856,VALPARAÍSO,5.651937802,-75.63083412,24,MEDIA
5,ANTIOQUIA,5858,VEGACHÍ,6.836535122,-74.7540302,25,MEDIA
5,ANTIOQUIA,5861,VENECIA,5.956576355,-75.77722423,59,MUY_ALTA
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,6.453351334,-76.69504802,40,ALTA
5,ANTIOQUIA,5885,YALÍ,6.716870679,-74.75565002,35,ALTA
5,ANTIOQUIA,5887,YARUMAL,6.9881309,-75.45439957,37,ALTA
5,ANTIOQUIA,5890,YOLOMBÓ,6.64442786,-75.02990266,13,BAJA
5,ANTIOQUIA,5893,YONDÓ,6.925159318,-74.15824041,12,BAJA
5,ANTIOQUIA,5895,ZARAGOZA,7.474004006,-74.85848326,25,MEDIA
8,ATLÁNTICO,8001,BARRANQUILLA,10.98152051,-74.82771544,8,MUY_BAJA
8,ATLÁNTICO,8078,BARANOA,10.79329302,-74.92219491,10,MUY_BAJA
8,ATLÁNTICO,8137,CAMPO DE LA CRUZ,10.38405079,-74.88466039,3,MUY_BAJA
8,ATLÁNTICO,8141,CANDELARIA,10.48902047,-74.87756627,4,MUY_BAJA
