COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5113,BURITICÁ,0.07164179104477612,0.08319735463883332,1.1612964085003816,decreciente,MODERADA,0.19752358490566038,0.26842948717948717,DEFICIT,0.559370280650535,DEFICIT,MODERADA,0.1044776119402985,0.07692307692307693,0.0,estable,1,14.124569270155629,2,1
5,ANTIOQUIA,5120,CÁCERES,0.05825242718446602,0.07152890732169641,1.569165404369715,estable,MODERADA,2.162852112676056,1.4062499999999998,EXCESO,0.7842918308185448,DEFICIT,MODERADA,0.10382513661202186,0.07142857142857142,0.0,estable,2,21.946963410776473,2,1
5,ANTIOQUIA,5125,CAICEDO,0.057692307692307696,0.057265151291762274,1.0393624959454852,estable,BAJA,0.6560240963855422,0.46538461538461534,DEFICIT,0.5366097240919271,DEFICIT,MODERADA,0.09473684210526316,0.2,0.0,estable,2,20.409628831769123,2,1
5,ANTIOQUIA,5129,CALDAS,0.06857142857142857,0.09188975174259659,1.3400588795795334,estable,ALTA,1.3008607198748043,1.3087606837606838,EXCESO,1.1936915612954244,EXCESO,MODERADA,0.08571428571428572,0.16666666666666666,0.0,estable,1,0.700893064038673,2,0
5,ANTIOQUIA,5134,CAMPAMENTO,0.11173184357541899,0.13625151286659243,1.2194510401560024,estable,CRÍTICA,0.8193661971830987,0.21058823529411766,DEFICIT,,sin_datos,ALTA,0.1016949152542373,0.0,65.0,estable,2,14.817956493185287,3,1
5,ANTIOQUIA,5138,CAÑASGORDAS,0.08695652173913043,0.0521889400921659,0.9156786761625472,estable,BAJA,0.0,,sin_datos,,sin_datos,MODERADA,0.1111111111111111,0.0,4.0,estable,2,6.306091288015322,2,1
5,ANTIOQUIA,5142,CARACOLÍ,0.20212765957446807,0.2571120777370777,5.483253363108626,estable,MODERADA,6.021547987616099,3.8082706766917296,EXCESO,,sin_datos,NORMAL,0.09217877094972067,0.0,0.0,estable,2,9.554546679384744,0,1
5,ANTIOQUIA,5145,CARAMANTA,0.054287476866132015,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.10175438596491228,0.0,3.0,sin_datos,1,11.359011282250504,2,1
5,ANTIOQUIA,5147,CAREPA,0.05,0.1836994378170849,3.6739887563416977,estable,ALTA,3.1325301204819276,2.3076923076923075,EXCESO,1.8589580105530172,EXCESO,NORMAL,0.07142857142857142,0.1,0.0,estable,1,3.0051642657020725,0,1
5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,0.0759493670886076,0.06344086021505377,0.8353046594982079,estable,BAJA,0.8654147104851331,1.1816239316239316,EXCESO,,sin_datos,MODERADA,0.07547169811320754,0.21428571428571427,0.0,estable,1,11.83909045926296,2,1
