COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta_compuesta,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,sequia_categoria,alerta,fecha,municipio_afectado
5400,LA UNIÓN,ANTIOQUIA,5.940434685,-75.35429023,0.2,0.2,2,ALTA,0.0759493670886076,0.0633624551971326,0.834272326762246,estable,MODERADA,2,2026-09-17,0
5425,MACEO,ANTIOQUIA,6.534573585,-74.71410854,0.0,0.0,2,ALTA,0.0537897310513447,0.0935907107541048,33.59906516072364,creciente,NORMAL,2,2026-09-17,0
5440,MARINILLA,ANTIOQUIA,6.18520515,-75.30487933,,,1,BAJA,0.0681818181818181,0.0,,sin_datos,ALTA,0,2026-09-17,0
5480,MUTATÁ,ANTIOQUIA,7.329557848,-76.4630657,0.0,0.0,2,BAJA,0.0698924731182795,0.0499828986724148,0.7151399348514734,sin_datos,MODERADA,0,2026-09-17,1
5483,NARIÑO,ANTIOQUIA,5.581275312,-75.19457019,0.0,0.0,1,MODERADA,0.0539772727272727,0.1585354172762613,2.9370772042759987,decreciente,NORMAL,1,2026-09-17,1
5495,NECHÍ,ANTIOQUIA,7.983477394,-74.65844186,0.0,0.0,4,MODERADA,0.0904017857142857,0.0716907387626736,4.8633226561798,creciente,MODERADA,1,2026-09-17,1
5501,OLAYA,ANTIOQUIA,6.611418083,-75.77567097,0.0,0.0,2,BAJA,0.0635359116022099,0.062708230411677,0.9869730177837868,estable,NORMAL,0,2026-09-17,1
5579,PUERTO BERRÍO,ANTIOQUIA,6.481922267,-74.5287421,,,4,MODERADA,0.0859375,0.0505473817301774,1.5290582973378672,creciente,NORMAL,1,2026-09-17,1
5585,PUERTO NARE,ANTIOQUIA,6.126539139,-74.70317722,,,4,CRÍTICA,0.1142857142857142,0.1726190476190476,3.13673469387755,insuficiente,ALTA,3,2026-09-17,1
5591,PUERTO TRIUNFO,ANTIOQUIA,5.954830151,-74.6861918,,,1,BAJA,0.0495356037151702,0.0,,sin_datos,NORMAL,0,2026-09-17,1
5604,REMEDIOS,ANTIOQUIA,6.997267375,-74.55865652,0.0,0.0,1,MODERADA,0.0685714285714285,0.1205329815878766,1.7577726481565346,estable,MODERADA,1,2026-09-17,1
5607,RETIRO,ANTIOQUIA,6.053444254,-75.51573805,,,2,CRÍTICA,0.116751269035533,0.2038200489275758,5.194123827509189,estable,MODERADA,3,2026-09-17,1
5615,RIONEGRO,ANTIOQUIA,6.150785807,-75.41076052,0.0,0.0,8,CRÍTICA,0.1843817787418655,0.1914089624636065,7.108085368775625,estable,MODERADA,3,2026-09-17,0
5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.823258913,-75.67770826,0.0,0.0,2,CRÍTICA,0.1081794195250659,0.1001775715392697,2.7066495717739723,estable,NORMAL,3,2026-09-17,0
5660,SAN LUIS,ANTIOQUIA,6.024205956,-75.0076674,,,2,BAJA,0.08,0.0477935180444141,0.9956982925919604,decreciente,MODERADA,0,2026-09-17,1
5665,SAN PEDRO DE URABÁ,ANTIOQUIA,8.37915695,-76.31664233,,,2,MODERADA,0.0655737704918032,0.1745585827383062,5.411316064887494,estable,MODERADA,1,2026-09-17,1
5670,SAN ROQUE,ANTIOQUIA,6.466165211,-74.9450732,0.0,0.0,4,CRÍTICA,0.1154929577464788,0.2327906348643675,5.365469227755799,estable,MODERADA,3,2026-09-17,1
5679,SANTA BÁRBARA,ANTIOQUIA,5.878984956,-75.58330371,0.0,0.0,2,MODERADA,0.0865921787709497,0.1130656539020905,2.760132139374563,estable,MODERADA,1,2026-09-17,1
5690,SANTO DOMINGO,ANTIOQUIA,6.481044132,-75.14260097,11.700000000000001,0.7,1,ALTA,0.0659025787965616,0.0972221912388312,1.4752410757544394,estable,MODERADA,2,2026-09-17,1
5697,EL SANTUARIO,ANTIOQUIA,6.124209495,-75.25212278,,,1,BAJA,0.0597609561752988,0.0,,sin_datos,MODERADA,0,2026-09-17,0
5736,SEGOVIA,ANTIOQUIA,7.26692339,-74.62163926,0.1,0.1,2,ALTA,0.0687679083094555,0.0909601208088447,1.322711756761951,estable,ALTA,2,2026-09-17,1
5756,SONSÓN,ANTIOQUIA,5.826388779,-74.83637623,,,2,MODERADA,0.057471264367816,0.0184340160746694,2.138345864661654,estable,MODERADA,1,2026-09-17,1
5789,TÁMESIS,ANTIOQUIA,5.673758571,-75.70979974,,,2,BAJA,0.054287476866132,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5790,TARAZÁ,ANTIOQUIA,7.488875998,-75.40189438,,,1,BAJA,0.0251428571428571,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5792,TARSO,ANTIOQUIA,5.871064557,-75.82871144,0.0,0.0,2,ALTA,0.0555555555555555,0.1601923574527938,2.8834624341502897,estable,MODERADA,2,2026-09-17,1
5809,TITIRIBÍ,ANTIOQUIA,6.058349971,-75.79966005,0.0,0.0,2,MODERADA,0.0699088145896656,0.0826026281620451,1.1815767245788198,sin_datos,NORMAL,1,2026-09-17,1
5819,TOLEDO,ANTIOQUIA,7.016397069,-75.71363382,0.0,0.0,2,MODERADA,0.0845070422535211,0.1168754184883217,1.7336520409101055,estable,LEVE,1,2026-09-17,1
5837,TURBO,ANTIOQUIA,8.173851745,-76.5740377,0.0,0.0,2,ALTA,0.0769230769230769,0.0275388291517323,0.3580047789725208,decreciente,NORMAL,2,2026-09-17,1
5842,URAMITA,ANTIOQUIA,6.913916924,-76.13318514,0.2,0.1,2,MODERADA,0.0687679083094555,0.0913302551400227,1.328094126827831,decreciente,NORMAL,1,2026-09-17,1
5847,URRAO,ANTIOQUIA,6.33534134,-76.25906482,,,1,BAJA,0.0677966101694915,0.0,,sin_datos,ALTA,0,2026-09-17,1
5854,VALDIVIA,ANTIOQUIA,7.265404213,-75.40094502,0.0,0.0,5,CRÍTICA,0.2094972067039106,0.2718447919975612,26.271857398050024,estable,MODERADA,3,2026-09-17,1
5856,VALPARAÍSO,ANTIOQUIA,5.651937802,-75.63083412,,,1,BAJA,0.0550206327372764,0.0,,sin_datos,NORMAL,0,2026-09-17,1
5861,VENECIA,ANTIOQUIA,5.956576355,-75.77722423,0.0,0.0,2,ALTA,0.1581632653061224,0.1346273695582451,3.71736389821032,estable,MODERADA,2,2026-09-17,1
5873,VIGÍA DEL FUERTE,ANTIOQUIA,6.453351334,-76.69504802,0.0,0.0,3,ALTA,0.0567765567765567,0.0905114493349787,1.5941693979644642,estable,ALTA,2,2026-09-17,1
5885,YALÍ,ANTIOQUIA,6.716870679,-74.75565002,0.0,0.0,2,ALTA,0.0909090909090909,0.1267170329670329,1.3938873626373625,estable,MODERADA,2,2026-09-17,0
5893,YONDÓ,ANTIOQUIA,6.925159318,-74.15824041,,,1,BAJA,0.0125422093584177,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5895,ZARAGOZA,ANTIOQUIA,7.474004006,-74.85848326,9.0,1.3,5,ALTA,0.1041666666666666,0.065965940999795,1.0521567589467309,estable,MODERADA,2,2026-09-17,1
8001,BARRANQUILLA,ATLÁNTICO,10.98152051,-74.82771544,0.0,0.0,7,ALTA,0.3333333333333333,0.0903353458304506,2.657866619544815,estable,MODERADA,2,2026-09-17,1
8372,JUAN DE ACOSTA,ATLÁNTICO,10.82306503,-75.07841904,541.4,28.4,3,ALTA,0.0747663551401869,0.2777188850605771,6.863623873639978,creciente,MODERADA,2,2026-09-17,0
8436,MANATÍ,ATLÁNTICO,10.45414555,-74.98477367,0.0,0.0,3,CRÍTICA,0.1078431372549019,0.1321036926139818,3.745139685606385,estable,MODERADA,3,2026-09-17,1
8520,PALMAR DE VARELA,ATLÁNTICO,10.69481208,-74.7701509,0.0,0.0,1,MODERADA,0.04,0.0510267035780786,1.2756675894519665,estable,ALTA,1,2026-09-17,1
8549,PIOJÓ,ATLÁNTICO,10.74078959,-75.14366034,,,3,MODERADA,0.1,0.1623824327940012,7.771159283712915,estable,NORMAL,1,2026-09-17,1
8606,REPELÓN,ATLÁNTICO,10.50757051,-75.12188053,0.0,0.0,2,MODERADA,0.0996563573883161,0.0743326934822535,1.9892075147098731,estable,MODERADA,1,2026-09-17,1
8634,SABANAGRANDE,ATLÁNTICO,10.79894015,-74.7687966,0.0,0.0,5,ALTA,0.1428571428571428,0.044148530835127,1.0098976428535311,estable,MODERADA,2,2026-09-17,1
8638,SABANALARGA,ATLÁNTICO,10.62250777,-74.95510542,0.0,0.0,2,BAJA,0.0539629005059021,0.0510267035780786,1.0028709818614692,estable,ALTA,0,2026-09-17,1
8758,SOLEDAD,ATLÁNTICO,10.9069066,-74.7784249,0.0,0.0,5,MODERADA,0.0625,0.0473665223665223,2.024918831168831,estable,ALTA,1,2026-09-17,1
8770,SUAN,ATLÁNTICO,10.31085035,-74.90713308,0.0,0.0,2,ALTA,0.0746268656716417,0.1132487547426499,2.713316055409517,creciente,MODERADA,2,2026-09-17,1
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.316107698,-74.1810727,0.0,0.0,5,CRÍTICA,0.1313131313131313,0.2045608826657214,4.216622368339936,estable,NORMAL,3,2026-09-17,1
13001,CARTAGENA DE INDIAS,BOLÍVAR,10.46343362,-75.45889915,0.2,0.2,8,MODERADA,0.0625,0.1318964945071246,4.1107740788053855,estable,NORMAL,1,2026-09-17,1
